No;Kode_Kab;Kabupaten;Res_fpa_fgwc$cluster
1;1101;SIMEULUE;3
2;1102;ACEH SINGKIL;3
3;1103;ACEH SELATAN;1
4;1104;ACEH TENGGARA;1
5;1105;ACEH TIMUR;1
6;1106;ACEH TENGAH;3
7;1107;ACEH BARAT;3
8;1108;ACEH BESAR;4
9;1109;PIDIE;1
10;1110;BIREUEN;3
11;1111;ACEH UTARA;1
12;1112;ACEH BARAT DAYA;1
13;1113;GAYO LUES;1
14;1114;ACEH TAMIANG;4
15;1115;NAGAN RAYA;3
16;1116;ACEH JAYA;3
17;1117;BENER MERIAH;3
18;1118;PIDIE JAYA;1
19;1171;KOTA BANDA ACEH;2
20;1172;KOTA SABANG;2
21;1173;KOTA LANGSA;2
22;1174;KOTA LHOKSEUMAWE;4
23;1175;KOTA SUBULUSSALAM;3
24;1201;NIAS;1
25;1202;MANDAILING NATAL;1
26;1203;TAPANULI SELATAN;1
27;1204;TAPANULI TENGAH;1
28;1205;TAPANULI UTARA;4
29;1206;TOBA SAMOSIR;4
30;1207;LABUHAN BATU;4
31;1208;ASAHAN;4
32;1209;SIMALUNGUN;2
33;1210;DAIRI;4
34;1211;KARO;4
35;1212;DELI SERDANG;4
36;1213;LANGKAT;4
37;1214;NIAS SELATAN;1
38;1215;HUMBANG HASUNDUTAN;4
39;1216;PAKPAK BHARAT;4
40;1217;SAMOSIR;4
41;1218;SERDANG BEDAGAI;4
42;1219;BATU BARA;4
43;1220;PADANG LAWAS UTARA;1
44;1221;PADANG LAWAS;1
45;1222;LABUHAN BATU SELATAN;4
46;1223;LABUHAN BATU UTARA;4
47;1224;NIAS UTARA;1
48;1225;NIAS BARAT;1
49;1271;KOTA SIBOLGA;2
50;1272;KOTA TANJUNG BALAI;2
51;1273;KOTA PEMATANG SIANTAR;2
52;1274;KOTA TEBING TINGGI;2
53;1275;KOTA MEDAN;2
54;1276;KOTA BINJAI;4
55;1277;KOTA PADANG SIDEMPUAN;2
56;1278;KOTA GUNUNG SITOLI;4
57;1301;KEPULAUAN MENTAWAI;3
58;1302;PESISIR SELATAN;1
59;1303;SOLOK;1
60;1304;SIJUNJUNG;1
61;1305;TANAH DATAR;4
62;1306;PADANG PARIAMAN;1
63;1307;AGAM;4
64;1308;LIMA PULUH KOTA;1
65;1309;PASAMAN;1
66;1310;SOLOK SELATAN;1
67;1311;DHARMASRAYA;4
68;1312;PASAMAN BARAT;1
69;1371;KOTA PADANG;2
70;1372;KOTA SOLOK;2
71;1373;KOTA SAWAHLUNTO;2
72;1374;KOTA PADANG PANJANG;2
73;1375;KOTA BUKITTINGGI;2
74;1376;KOTA PAYAKUMBUH;2
75;1377;KOTA PARIAMAN;4
76;1401;KUANTAN SINGINGI;4
77;1402;INDRAGIRI HULU;4
78;1403;INDRAGIRI HILIR;3
79;1404;PELALAWAN;4
80;1405;SIAK;4
81;1406;KAMPAR;4
82;1407;ROKAN HULU;4
83;1408;BENGKALIS;4
84;1409;ROKAN HILIR;4
85;1410;KEPULAUAN MERANTI;3
86;1471;KOTA PEKANBARU;4
87;1473;KOTA DUMAI;4
88;1501;KERINCI;2
89;1502;MERANGIN;4
90;1503;SAROLANGUN;4
91;1504;BATANGHARI;4
92;1505;MUARO JAMBI;4
93;1506;TANJUNG JABUNG TIMUR;4
94;1507;TANJUNG JABUNG BARAT;4
95;1508;TEBO;3
96;1509;BUNGO;4
97;1571;KOTA JAMBI;2
98;1572;KOTA SUNGAI PENUH;2
99;1601;OGAN KOMERING ULU;4
100;1602;OGAN KOMERING ILIR;3
101;1603;MUARA ENIM;4
102;1604;LAHAT;3
103;1605;MUSI RAWAS;4
104;1606;MUSI BANYUASIN;4
105;1607;BANYUASIN;4
106;1608;OGAN KOMERING ULU SELATAN;1
107;1609;OGAN KOMERING ULU TIMUR;4
108;1610;OGAN ILIR;3
109;1611;EMPAT LAWANG;1
110;1612;PENUKAL ABAB LEMATANG ILIR;3
111;1613;MUSI RAWAS UTARA;1
112;1671;KOTA PALEMBANG;2
113;1672;KOTA PRABUMULIH;4
114;1673;KOTA PAGAR ALAM;4
115;1674;KOTA LUBUK LINGGAU;4
116;1701;BENGKULU SELATAN;3
117;1702;REJANG LEBONG;4
118;1703;BENGKULU UTARA;4
119;1704;KAUR;3
120;1705;SELUMA;3
121;1706;MUKOMUKO;4
122;1707;LEBONG;1
123;1708;KEPAHIANG;4
124;1709;BENGKULU TENGAH;4
125;1771;KOTA BENGKULU;2
126;1801;LAMPUNG BARAT;3
127;1802;TANGGAMUS;3
128;1803;LAMPUNG SELATAN;4
129;1804;LAMPUNG TIMUR;4
130;1805;LAMPUNG TENGAH;4
131;1806;LAMPUNG UTARA;4
132;1807;WAY KANAN;4
133;1808;TULANG BAWANG;4
134;1809;PESAWARAN;3
135;1810;PRINGSEWU;4
136;1811;MESUJI;4
137;1812;TULANG BAWANG BARAT;4
138;1813;PESISIR BARAT;1
139;1871;KOTA BANDAR LAMPUNG;4
140;1872;KOTA METRO;4
141;1901;BANGKA;4
142;1902;BELITUNG;4
143;1903;BANGKA BARAT;4
144;1904;BANGKA TENGAH;4
145;1905;BANGKA SELATAN;4
146;1906;BELITUNG TIMUR;4
147;1971;KOTA PANGKALPINANG;4
148;2101;KARIMUN;4
149;2102;BINTAN;4
150;2103;NATUNA;4
151;2104;LINGGA;4
152;2105;KEPULAUAN ANAMBAS;4
153;2171;KOTA BATAM;2
154;2172;KOTA TANJUNG PINANG;2
155;3101;KEPULAUAN SERIBU;3
156;3171;JAKARTA SELATAN;4
157;3172;JAKARTA TIMUR;4
158;3173;JAKARTA PUSAT;2
159;3174;JAKARTA BARAT;2
160;3175;JAKARTA UTARA;2
161;3201;BOGOR;4
162;3202;SUKABUMI;4
163;3203;CIANJUR;3
164;3204;BANDUNG;4
165;3205;GARUT;3
166;3206;TASIKMALAYA;3
167;3207;CIAMIS;4
168;3208;KUNINGAN;4
169;3209;CIREBON;4
170;3210;MAJALENGKA;4
171;3211;SUMEDANG;4
172;3212;INDRAMAYU;4
173;3213;SUBANG;4
174;3214;PURWAKARTA;4
175;3215;KARAWANG;4
176;3216;BEKASI;4
177;3217;BANDUNG BARAT;4
178;3218;PANGANDARAN;3
179;3271;KOTA BOGOR;2
180;3272;KOTA SUKABUMI;4
181;3273;KOTA BANDUNG;2
182;3274;KOTA CIREBON;2
183;3275;KOTA BEKASI;4
184;3276;KOTA DEPOK;4
185;3277;KOTA CIMAHI;4
186;3278;KOTA TASIKMALAYA;4
187;3279;KOTA BANJAR;4
188;3301;CILACAP;4
189;3302;BANYUMAS;4
190;3303;PURBALINGGA;4
191;3304;BANJARNEGARA;3
192;3305;KEBUMEN;4
193;3306;PURWOREJO;4
194;3307;WONOSOBO;4
195;3308;MAGELANG;4
196;3309;BOYOLALI;4
197;3310;KLATEN;4
198;3311;SUKOHARJO;4
199;3312;WONOGIRI;4
200;3313;KARANGANYAR;4
201;3314;SRAGEN;4
202;3315;GROBOGAN;4
203;3316;BLORA;4
204;3317;REMBANG;3
205;3318;PATI;4
206;3319;KUDUS;4
207;3320;JEPARA;4
208;3321;DEMAK;4
209;3322;SEMARANG;4
210;3323;TEMANGGUNG;4
211;3324;KENDAL;4
212;3325;BATANG;4
213;3326;PEKALONGAN;3
214;3327;PEMALANG;4
215;3328;TEGAL;4
216;3329;BREBES;3
217;3371;KOTA MAGELANG;2
218;3372;KOTA SURAKARTA;2
219;3373;KOTA SALATIGA;2
220;3374;KOTA SEMARANG;2
221;3375;KOTA PEKALONGAN;2
222;3376;KOTA TEGAL;2
223;3401;KULON PROGO;4
224;3402;BANTUL;4
225;3403;GUNUNGKIDUL;4
226;3404;SLEMAN;4
227;3471;KOTA YOGYAKARTA;4
228;3501;PACITAN;4
229;3502;PONOROGO;4
230;3503;TRENGGALEK;3
231;3504;TULUNGAGUNG;4
232;3505;BLITAR;3
233;3506;KEDIRI;4
234;3507;MALANG;4
235;3508;LUMAJANG;3
236;3509;JEMBER;3
237;3510;BANYUWANGI;4
238;3511;BONDOWOSO;1
239;3512;SITUBONDO;1
240;3513;PROBOLINGGO;3
241;3514;PASURUAN;3
242;3515;SIDOARJO;2
243;3516;MOJOKERTO;4
244;3517;JOMBANG;4
245;3518;NGANJUK;4
246;3519;MADIUN;4
247;3520;MAGETAN;4
248;3521;NGAWI;4
249;3522;BOJONEGORO;3
250;3523;TUBAN;4
251;3524;LAMONGAN;4
252;3525;GRESIK;4
253;3526;BANGKALAN;3
254;3527;SAMPANG;3
255;3528;PAMEKASAN;3
256;3529;SUMENEP;3
257;3571;KOTA KEDIRI;4
258;3572;KOTA BLITAR;4
259;3573;KOTA MALANG;2
260;3574;KOTA PROBOLINGGO;4
261;3575;KOTA PASURUAN;2
262;3576;KOTA MOJOKERTO;4
263;3577;KOTA MADIUN;2
264;3578;KOTA SURABAYA;2
265;3579;KOTA BATU;4
266;3601;PANDEGLANG;1
267;3602;LEBAK;3
268;3603;TANGERANG;4
269;3604;SERANG;4
270;3671;KOTA TANGERANG;2
271;3672;KOTA CILEGON;4
272;3673;KOTA SERANG;4
273;3674;KOTA TANGERANG SELATAN;4
274;5101;JEMBRANA;4
275;5102;TABANAN;2
276;5103;BADUNG;2
277;5104;GIANYAR;2
278;5105;KLUNGKUNG;2
279;5106;BANGLI;4
280;5107;KARANGASEM;1
281;5108;BULELENG;2
282;5171;KOTA DENPASAR;2
283;5201;LOMBOK BARAT;1
284;5202;LOMBOK TENGAH;1
285;5203;LOMBOK TIMUR;3
286;5204;SUMBAWA;1
287;5205;DOMPU;1
288;5206;BIMA;1
289;5207;SUMBAWA BARAT;4
290;5208;LOMBOK UTARA;1
291;5271;KOTA MATARAM;2
292;5272;KOTA BIMA;4
293;5301;SUMBA BARAT;1
294;5302;SUMBA TIMUR;1
295;5303;KUPANG;3
296;5304;TIMOR TENGAH SELATAN;3
297;5305;TIMOR TENGAH UTARA;3
298;5306;BELU;3
299;5307;ALOR;3
300;5308;LEMBATA;3
301;5309;FLORES TIMUR;3
302;5310;SIKKA;3
303;5311;ENDE;4
304;5312;NGADA;4
305;5313;MANGGARAI;1
306;5314;ROTE NDAO;1
307;5315;MANGGARAI BARAT;1
308;5316;SUMBA TENGAH;1
309;5317;SUMBA BARAT DAYA;1
310;5318;NAGEKEO;3
311;5319;MANGGARAI TIMUR;3
312;5320;SABU RAIJUA;3
313;5321;MALAKA;3
314;5371;KOTA KUPANG;2
315;6101;SAMBAS;4
316;6102;BENGKAYANG;4
317;6103;LANDAK;1
318;6104;MEMPAWAH;3
319;6105;SANGGAU;4
320;6106;KETAPANG;4
321;6107;SINTANG;1
322;6108;KAPUAS HULU;1
323;6109;SEKADAU;3
324;6110;MELAWI;1
325;6111;KAYONG UTARA;3
326;6112;KUBU RAYA;4
327;6171;KOTA PONTIANAK;2
328;6172;KOTA SINGKAWANG;4
329;6201;KOTAWARINGIN BARAT;4
